scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,629.7,0.0
50%,1.0,0.0,0.0,3794.15,0.0
75%,13.0,0.7692307692307693,0.0,12154.066666666668,21282.61296296296
mean,17.58823529411765,0.3114064097382798,0.020667360365926344,36414.618866429926,15904.125619880992
