scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0
50%,1.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
75%,2.0,36.5,14.0,4.0,3.0,0.0,0.0,0.0,1.0,1583.4363425925926
mean,4.342592592592593,726.0416666666666,653.4722222222222,19.037037037037038,6.722222222222222,232.44444444444446,197.1064814814815,0.5601851851851852,0.7270819662640474,12110.326806401667
