scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,2.0,53.5,9.0,4.0,3.0,0.0,0.0,0.0,0.275,2.3916666666666666
50%,5.0,640.5,113.0,26.5,9.5,27.0,6.5,4.0,0.7445652173913043,4154.088908045977
75%,32.0,25487.5,15628.5,520.5,104.0,1197.5,517.5,70.5,0.9136730919003115,17387.149983530966
mean,50.78888888888889,197747.8777777778,81028.9,884.9666666666667,122.61111111111111,3179.2444444444445,1197.2222222222222,127.72222222222223,0.5946078593374207,25837.36538546072
