scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,165.09166666666667,0.0
50%,1.0,0.0,0.0,1520.7416666666666,0.0
75%,3.0,0.0,0.0,10495.516071428574,15278.649999999998
mean,29.8125,0.0,0.15650172612197927,12453.95230172287,24232.341974040184
