scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,1451.4795731707313,0.0
50%,1.0,0.0,0.0,2848.759146341463,0.0
75%,41.5,0.4817073170731707,0.0,5684.812906504065,3713.9727366255147
mean,28.0,0.3211382113821138,0.0,3807.941937669377,2475.9818244170096
