scene,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate
25%,1.0,2.0,2.0,85.33333333333333,36.3,0.0
50%,1.0,3.0,2.0,132.66666666666666,930.0833333333336,0.0
75%,2.0,4.0,3.0,307.625,1008.625,0.125
mean,2.7777777777777777,8.666666666666666,2.439153439153439,180.7277253668763,1597.2851851851854,0.1388888888888889
