scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
50%,3.0,19.0,8.0,4.0,3.0,0.0,0.0,0.0,0.5,289.51666666666665
75%,7.0,259.5,65.0,20.0,12.0,0.0,0.0,0.0,0.8203528399311532,10806.285416666666
mean,26.303834808259587,10530.952802359881,3700.3274336283184,188.02654867256638,48.26548672566372,901.0029498525074,97.74631268436578,49.30088495575221,0.44729152590232385,20351.214584833353
