scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,1260.6916666666666,0.0
50%,4.0,0.5,0.0,5253.938888888889,33121.065217391304
75%,4.0,0.6666666666666666,0.125,17235.566666666666,111845.79444444444
mean,6.8,0.4333333333333333,0.125,10257.569444444443,64425.07082125604
