scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,4033.9583333333335,0.0
50%,1.0,0.0,0.0,6506.197685185185,0.0
75%,18.5,0.18055555555555555,0.1527777777777778,19115.447685185183,10369.319047619052
mean,9.75,0.09027777777777778,0.0763888888888889,11574.703009259258,5184.659523809526
