scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,365.85833333333335,0.0
50%,1.0,0.0,0.0,5375.35,0.0
75%,1.5,0.0,0.0,36122.61041666666,19.183333333333334
mean,17.78181818181818,0.1303202479338843,0.1123845903804893,33482.792292611375,10934.726338345505
