scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50%,2.0,41.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,15.178333333333333
75%,4.0,242.5,74.0,18.0,6.0,0.0,0.0,0.0,0.0,5926.861111111111
mean,14.834302325581396,20830.843023255813,12835.473837209302,114.72383720930233,18.747093023255815,3992.188953488372,64.66569767441861,11.662790697674419,0.10553975256010141,28801.024755317696
