scene,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate
25%,1.0,1.0,1.0,59.0,4599.333333333333,0.0
50%,1.0,2.0,2.0,161.33333333333334,15491.066666666668,0.0
75%,2.0,8.0,3.1818181818181817,267.125,37759.41666666666,0.0
mean,3.543859649122807,13.43859649122807,2.6509320114583277,241.9247102019601,43910.04767917268,0.09685473162995617
