scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,8.0,5.5,2.0,1.5,0.0,0.0,0.0,0.0,0.0
75%,2.0,37.5,18.0,3.5,3.0,0.0,0.0,0.0,0.0,4.291666666666667
mean,3.9523809523809526,983.1428571428571,496.5952380952381,11.523809523809524,7.357142857142857,2.3095238095238093,1.119047619047619,0.16666666666666666,0.0,7824.359525119177
