scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.0,0.0,307.76666666666665,0.0
50%,1.0,0.0,0.0,1836.4433333333332,0.0
75%,1.0,0.0,0.0,5709.2,0.0
mean,1.8,0.0,0.0,18761.95533333333,21522.871666666666
