scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,7.5,3.0,1.5,1.0,0.0,0.0,0.0,0.5,0.0
50%,3.0,31.0,12.0,4.0,4.0,0.0,0.0,0.0,1.0,146.69444444444443
75%,4.5,63.5,50.0,7.0,6.5,0.0,0.0,0.0,1.0,7908.374583333333
mean,15.473684210526315,356.94736842105266,111.15789473684211,37.78947368421053,27.68421052631579,48.68421052631579,18.526315789473685,6.947368421052632,0.7179824561403508,8507.200022969731
