scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,1.0,3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,14.0,5.0,5.0,3.0,2.0,0.0,1.0,0.5,0.0
75%,7.0,318.5,40.5,45.5,11.5,34.5,2.0,2.5,1.0,3812.9543650793657
mean,5.894736842105263,521.578947368421,167.89473684210526,23.94736842105263,12.368421052631579,49.421052631578945,11.157894736842104,5.578947368421052,0.4880952380952381,3494.6764876751267
