scene,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval
25%,1.0,0.8831168831168832,0.0,3974.820454545455,0.0
50%,1.5,0.9545454545454546,0.0,6081.062121212121,5600.543589743591
75%,6.5,1.0,0.0357142857142857,8894.667261904762,26804.730256410257
mean,5.0,0.7943722943722943,0.1028138528138528,15477.859794372293,31230.74064102564
