scene,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate
25%,1.0,1.0,1.0,92.75,654.9666666666667,0.0
50%,1.0,2.0,1.6666666666666667,144.25,1892.625,0.0
75%,2.0,5.0,2.611940298507463,219.8571428571429,14319.95497512438,0.0
mean,2.9846153846153847,6.676923076923077,2.019328996045414,189.6013834712296,10682.329864289664,0.0471998371998372
