scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,2.0,5.5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
50%,3.0,55.5,12.0,6.0,3.0,0.0,0.0,0.0,0.0,1428.4759803921565
75%,6.5,526.5,108.5,27.5,10.0,6.0,2.0,2.0,0.0,15391.125757575759
mean,10.178082191780822,1637.8013698630136,1054.1575342465753,63.80821917808219,20.767123287671232,97.34246575342466,175.58219178082192,11.73972602739726,0.0030375223347230496,22867.975525862243
