scene,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate
25%,1.0,1.0,1.0,37.333333333333336,1290.625,0.0
50%,1.0,3.0,1.851063829787234,85.38709677419355,3867.437254901961,0.0
75%,3.0,6.0,3.0,170.5,9440.466666666667,0.0
mean,6.516129032258065,14.580645161290322,2.135101531782626,133.96648590476588,18839.962771907114,0.08507578712032017
