scene,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval
25%,2.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
50%,4.0,46.0,16.0,6.0,4.0,0.0,0.0,0.0,0.5,486.2523809523809
75%,10.0,828.0,221.0,37.0,16.0,0.0,0.0,0.0,0.875,8760.458333333334
mean,25.543307086614174,21771.38845144357,11283.094488188977,177.36745406824147,48.16272965879265,19.601049868766403,3.1968503937007875,1.5695538057742782,0.4864987923592673,15423.402349652304
