people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
K-os,1,0.0,0.0,17235.566666666666,0.0,0.090822837917185,1,0.0001042913081392,1,-0.9827956862817566,1,1
aureliendavid,4,0.5,0.0,27412.35,177158.49444444446,0.0362928505952864,1,-8.938502337307863e-05,1,-1.011161379458371,1,1
jeanlf,24,0.6666666666666666,0.125,5253.938888888889,33121.065217391304,-0.0070521788740343,1,0.0002872939127965,1,-1.0202997876172972,1,1
m-i-dyer,1,0.0,0.0,125.3,0.0,0.0846831709943514,1,-0.0004064929826,1,-1.003862726704987,1,1
rbouqueau,4,1.0,0.5,1260.6916666666666,111845.79444444444,-0.0413928114742181,1,0.0001042946643697,1,-0.9827956862817568,1,1
