people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
gvollant,1,0.0,0.0,307.76666666666665,0.0,0.1832917937764687,1,0.0013607696721958,1,-1.0256417015942605,1,1
ken-matsui,1,0.0,0.0,85950.53333333334,0.0,-0.0919995088217874,1,-0.0002390536878166,1,-0.963473968082446,1,1
madler,5,0.0,0.0,1836.4433333333327,107614.35833333334,-0.1550956606193867,1,0.000478101137546,1,-0.9634739680824458,1,1
officialrafsan,1,0.0,0.0,5.833333333333333,0.0,0.18234701174093,1,-0.0002390531000727,1,-1.0256318236988844,1,1
ynezz,1,0.0,0.0,5709.2,0.0,0.0846831709943514,1,0.0263353816044223,1,-1.0255184188801758,1,1
