people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Twometer,1,0.0,0.0,5285.35,0.0,0.1722586266139041,1,0.0363804158265619,1,-1.017625901540825,1,1
dzou,1,0.0,0.0,30503.85,0.0,0.0322907072192042,1,0.0003212794595968,1,-0.983436351005088,1,1
olegz,36,0.3611111111111111,0.3055555555555556,7727.04537037037,20738.638095238104,-0.1550765580853368,1,0.0003212822504697,1,-0.983436351005088,1,1
rahulmlokurte,1,0.0,0.0,2782.5666666666666,0.0,0.1546244852414199,1,-0.0006425679844763,1,-1.0163460368161823,1,1
