people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
sunilgovind,3,163,162,5,3,0,0,0,0.0,50980.48333333334,0.1225211097422187,1,0.6154174204097309,1,-4.747847545395926,1,1
surendralilhore,1,96,5,13,1,0,0,0,0.0,0.0,0.1506676473667459,1,0.0287110923649223,1,-1.4501414639779386,1,1
szilard-nemeth,10,633,458,22,11,0,0,0,0.0,7702.803703703704,0.0740896413927225,1,-1.0050728649602494,1,-10.717597719374798,-1,1
tasanuma,6,70,6,12,6,18,1,4,0.0,56231.26666666666,0.09577767548718,1,-0.0001256039282466,1,-2.163527156065625,1,1
umamaheswararao,18,5226,502,107,26,111,0,2,0.0,9042.61274509804,-0.1235229596674785,-1,-10.19937368769597,1,-4.27213221501286,1,1
vinayakumarb,1,33,3,2,1,0,0,0,0.0,0.0,0.1771598945796003,1,0.0031825803726057,1,-0.9947067093435088,1,1
virajith,2,426,58,19,3,0,0,0,0.0,67894.83333333333,0.1280937723620029,1,-0.9953986267109248,1,-3.9960890035640935,1,1
wangyum,2,2,2,2,2,2,2,2,1.0,6182.116666666667,0.0150240475622723,1,-10.95299403502714,1,-46.70212260650492,-1,1
wilfred-s,1,124,8,2,1,0,0,0,0.0,0.0,0.1700364690230633,1,0.0169500389466481,1,-0.9923975817697294,1,1
xkrogen,1,14,9,3,1,0,0,0,0.0,0.0,0.1730787218815044,1,0.0131007079504037,1,-0.9976531594372584,1,1
ywheel,1,2,2,1,1,0,0,0,0.0,0.0,0.1725669488891456,1,-0.0062380626576103,1,-1.002163865376916,1,1
zhouyuan,1,1,0,1,1,0,0,0,0.0,0.0,0.172256290460284,1,-0.0090433383621153,1,-1.0134509417172768,1,1
