people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
12Me21,1,0.0,0.0,3.95,0.0,0.0339836338223984,1,-0.000210312684441,1,-0.9477230874580715,1,1
dlemstra,27,0.925925925925926,0.037037037037037,4110.340740740741,29020.77884615385,0.1253216095038119,1,0.0004206249742301,1,-0.9477230874580715,1,1
urban-warrior,19,0.9473684210526316,0.0,2538.623684210527,36931.53888888889,0.1754153044205461,1,-0.000210313204327,1,-1.116761708311109,1,1
