people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
1480c1,2,3,1.5,132.66666666666666,99.85833333333332,0.0,0.0662201464505794,1,0.0837135904710892,1,-1.0075949782253737,1,1
SpaceIm,1,2,2.0,130.5,7465.616666666667,1.0,-0.0519799599369097,1,-0.1704757829312078,1,-0.9765525475982004,1,1
ferivoz,1,2,2.0,21.0,970.4333333333332,0.0,0.1150875039051778,1,0.1118417386482146,1,-0.9964427903015862,1,1
hartwork,14,53,3.7857142857142856,345.9245283018868,1008.625,0.125,-0.1493912808131684,1,-0.2276351840440411,1,-0.9765525475982004,1,1
noloader,1,2,2.0,241.0,21.766666666666666,0.0,0.1304039281106143,1,-6.143119346546655e-10,1,-1.0162102489879152,1,1
petitlapin,1,4,4.0,347.5,34.63333333333333,0.0,0.0411159381488946,1,-0.0037232513305238,1,-1.0059526303275526,1,1
pkasting,1,3,3.0,85.33333333333333,3808.25,0.0,0.0753341506774104,1,6.770531246758082e-09,1,-1.0084206157975717,1,1
rillig,1,1,1.0,15.0,36.3,0.0,0.0379527188530501,1,-0.0027960809832685,1,-0.9838344805153284,1,1
timbray,3,8,2.6666666666666665,307.625,930.0833333333336,0.125,0.0126846481307676,1,0.0353225863567883,1,-1.0308846144418728,1,1
