people,commit_num,total_line_addition,total_line_deletion,total_file_edit_num,total_file_edit_type,sensitive_line_addition,sensitive_line_deletion,sensitive_file_edit_num,merge_rate,commit_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
kayuapi,25,169,177,35,29,0,0,0,0.5714285714285714,5265.794444444445,0.0448105264991506,1,2.708399256189132,1,-1.2877785220348656,1,1
kevinlang,17,298,43,37,27,0,0,0,1.0,14.548958333333331,0.0795527456586445,1,-2.551523631837732,1,-7.050158178033989,1,1
kgautreaux,4,5,5,4,4,0,0,0,1.0,46119.583333333336,0.1509005365592462,1,0.0624430277642318,1,-4.760761284556918,1,1
kianmeng,1,2,2,1,1,0,0,0,1.0,0.0,0.1964818603706646,1,1.4407739953981036e-05,1,-159245.86784557873,-1,1
kinson,2,35,11,10,3,0,0,0,0.5,21559.8,0.133739201462785,1,8.720381614262124,1,-3.372141888219302,1,1
koga1020,2,20,14,2,2,0,0,0,1.0,1148.7166666666667,0.1895496912215209,1,0.0935252075451771,1,-1.1806705330709688,1,1
krainboltgreene,1,12,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,0.0001182511191615,1,-3.0863467714891377,1,1
leandrocp,58,14865,9253,438,111,4930,5156,12,0.8333333333333334,7504.5587719298255,-0.2047594106391995,-1,-52.51567908668171,-1,-5.884799035461372,1,-1
leodag,1,1,1,1,1,1,1,1,1.0,0.0,0.1121882369616353,1,-0.0379837591648239,1,-283570890.9754873,-1,1
linusdm,1,21,6,1,1,0,0,0,1.0,0.0,0.1916543104874967,1,0.0002270827734136,1,-4.999716208249719,1,1
maartenvanvliet,1,1,1,1,1,0,0,0,1.0,0.0,0.1967764109543482,1,1.1817233769306769e-07,1,-1.0,1,1
mad42,13,25244,12965,395,52,14455,7811,12,0.5,18061.847222222223,-0.2237519994831149,-1,-55.189675523643736,-1,-3.282061099121916,1,-1
maennchen,1,4,4,3,2,0,0,0,1.0,0.0,0.1912957331123029,1,0.0345737924059292,1,-35.072661069424306,1,1
marcandre,7,282,16,11,9,0,0,0,0.4,11532.972222222224,0.1203772160355708,1,8.198370284218456,1,-6.6941029028360814,1,1
