people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
DamianFekete,1,0.0,0.0,237.2,0.0,0.0535549277258207,1,-0.0003225285826702,1,-0.9975251697420262,1,1
asfgit,12,0.0,0.0,5038.066666666667,59274.72878787878,0.0727232927239086,1,-6.708034100966209e-05,1,-1.0239810683705457,1,1
icing,12,0.0,0.0833333333333333,38434.15,51847.50151515152,-0.1055272294078462,1,0.0004152887560338,1,-0.9759939492083094,1,1
jenny-cheung,1,0.0,0.0,17400.45,0.0,0.0506466228030119,1,-0.0003225361103906,1,-1.0192240380371786,1,1
jfclere,2,0.0,0.0,1564.825,426280.7,-0.0457206932216642,1,4.611636906992622e-05,1,-0.9700903842403562,1,1
notroj,4,0.0,0.0,5029.75,80267.15555555555,0.0854890614537521,1,0.1881910932647681,1,-1.0152898013134328,1,1
rpluem,8,0.0,0.0,14671.214583333334,89225.21428571429,0.0687409506996162,1,0.1858048706489719,1,-1.0318072508498737,1,1
ylavic,20,0.0,0.0,51950.754166666666,27926.67631578947,-0.0450937535052291,1,0.000250727321341,1,-0.970090384240356,1,1
