people,pr_num,review_num,avg_review_num,avg_review_comment_length,avg_review_response_time,approve_rate,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
GreenRover,1,1,1.0,288.0,48.083333333333336,0.0,0.0927347517432832,1,0.0009579422060022,1,-1.001417005023976,1,1
RouxAntoine,1,1,1.0,367.0,748.55,0.0,0.0535442074449517,1,-5.826514131590521e-05,1,-0.9963348185257156,1,1
apoupardsmartb,1,2,2.0,4.0,1188.0666666666666,0.0,0.1113176357168389,1,-0.000370597093108,1,-1.0007627972805455,1,1
artembilan,1,2,2.0,168.5,94.28333333333332,0.0,0.1234514708400477,1,0.0123841523091552,1,-1.0065694078220813,1,1
ddixit14,1,2,2.0,6.5,4182.45,0.0,0.0389874727985299,1,0.0002144296566941,1,-0.9818919530713516,1,1
elefeint,1,20,20.0,185.35,15.483333333333333,0.0,-0.0815874669973343,1,-0.1555904208090162,1,-1.0091664430217162,1,1
olegz,3,6,2.0,167.5,2402.555555555556,0.0,-0.0048590023823344,1,0.0002144480139814,1,-1.0218218552066318,1,1
onobc,6,23,3.8333333333333335,158.1304347826087,15.427777777777782,0.0454545454545454,-0.1690439482576174,1,-0.247686036510053,1,-0.9818919530713516,1,1
sbrannen,1,1,1.0,63.0,1082.7333333333331,0.0,0.09687674623204,1,0.0750377677846323,1,-1.0012794239330682,1,1
