people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,score_if,anomaly_if,score_ocsvm,anomaly_ocsvm,score_lof,anomaly_lof,vote
Herrie82,1,0.0,0.0,35.766666666666666,0.0,0.1697956902591857,1,-0.0002900035074854,1,-1.0385448533040187,1,1
dependabot[bot],2,0.0,0.0,6618.016666666666,87209.1,-0.1101029326411801,1,0.0005800083982046,1,-0.9635417518941848,1,1
hudeqiWH,1,0.0,0.0,68636.31666666667,0.0,-0.025259302623095,1,-0.0002900028772181,1,-0.9635417518941848,1,1
zavorka,1,0.0,0.0,196.75,0.0,0.1697956902591857,1,0.0007087813602245,1,-1.0385899429152918,1,1
